date,ip,city,province
2016/10/17 18:04,117.136.41.64,广州市,广东省
2016/10/17 18:05,117.136.79.17,佛山市,广东省
2016/10/17 18:05,117.136.32.48,广州市,广东省
2016/10/17 18:05,117.136.79.32,佛山市,广东省
2016/10/17 18:05,117.136.79.228,佛山市,广东省
2016/10/17 18:06,117.136.41.95,广州市,广东省
2016/10/17 18:06,117.136.32.102,广州市,广东省
2016/10/17 18:07,117.136.31.215,广州市,广东省
2016/10/17 18:07,117.136.39.224,广州市,广东省
2016/10/17 18:07,120.197.202.29,佛山市,广东省
2016/10/17 18:07,117.136.41.58,广州市,广东省
2016/10/17 18:07,117.136.41.112,广州市,广东省
2016/10/17 18:08,117.136.41.41,广州市,广东省
2016/10/17 18:08,117.136.32.86,广州市,广东省
2016/10/17 18:08,117.136.40.132,广州市,广东省
2016/10/17 18:08,120.197.198.37,佛山市,广东省
2016/10/17 18:08,223.104.1.121,广州市,广东省
2016/10/17 19:04,223.104.63.4,北京市,北京市
2016/10/17 19:04,117.136.12.109,广州市,广东省
2016/10/17 19:04,117.136.31.129,广州市,广东省
2016/10/17 19:04,120.197.202.19,佛山市,广东省
2016/10/17 19:04,221.179.37.11,广州市,广东省
2016/10/17 19:04,117.136.41.96,广州市,广东省
2016/10/17 19:05,117.136.41.39,广州市,广东省
2016/10/17 19:05,117.136.41.108,广州市,广东省
2016/10/17 19:05,117.136.40.152,广州市,广东省
2016/10/17 19:05,117.136.41.97,广州市,广东省
2016/10/17 19:06,117.136.79.68,佛山市,广东省
2016/10/17 19:06,117.136.41.122,广州市,广东省
2016/10/17 19:06,223.104.1.190,广州市,广东省
2016/10/17 19:07,223.104.1.120,广州市,广东省
2016/10/17 19:07,120.197.198.86,佛山市,广东省
2016/10/17 19:08,117.136.79.70,佛山市,广东省
2016/10/17 19:09,117.136.41.53,广州市,广东省
2016/10/17 19:09,218.14.70.160,惠州市,广东省
2016/10/17 19:09,112.74.41.58,深圳市,广东省
2016/10/17 19:10,120.76.248.214,深圳市,广东省
2016/10/17 19:10,117.136.40.39,广州市,广东省
2016/10/17 19:10,117.136.32.55,广州市,广东省
2016/10/17 20:02,223.104.1.16,深圳市,广东省
2016/10/17 20:02,120.197.196.89,佛山市,广东省
2016/10/17 20:02,117.136.79.123,佛山市,广东省
2016/10/17 20:03,118.178.88.96,深圳市,广东省
2016/10/17 20:03,221.179.37.74,广州市,广东省
2016/10/17 20:03,117.136.39.205,广州市,广东省
2016/10/17 20:03,117.136.40.229,广州市,广东省
2016/10/17 20:03,120.197.193.95,佛山市,广东省
2016/10/17 20:04,117.136.31.130,广州市,广东省
2016/10/17 20:05,223.104.1.206,广州市,广东省
2016/10/17 20:05,117.136.39.200,广州市,广东省
2016/10/17 20:05,117.136.79.79,佛山市,广东省
2016/10/17 20:05,117.136.79.51,佛山市,广东省
2016/10/17 20:05,120.197.193.43,佛山市,广东省
2016/10/17 20:05,117.136.40.112,广州市,广东省
2016/10/17 20:06,117.136.79.104,佛山市,广东省
2016/10/17 20:06,117.136.41.105,广州市,广东省
2016/10/17 20:06,223.104.63.61,北京市,北京市
2016/10/17 20:07,117.136.31.34,广州市,广东省
2016/10/17 20:07,117.136.41.101,广州市,广东省
2016/10/17 20:07,117.136.79.178,佛山市,广东省
2016/10/17 20:07,117.136.41.68,广州市,广东省
2016/10/17 20:07,223.104.63.58,北京市,北京市
2016/10/17 20:08,117.136.79.3,佛山市,广东省
2016/10/17 20:08,117.136.40.57,广州市,广东省
2016/10/17 20:08,117.136.40.231,广州市,广东省
2016/10/17 20:08,223.104.63.61,北京市,北京市
2016/10/17 20:08,117.136.40.144,广州市,广东省
2016/10/17 21:02,117.136.40.228,广州市,广东省
2016/10/17 21:02,223.104.1.118,广州市,广东省
2016/10/17 21:02,120.197.197.37,佛山市,广东省
2016/10/17 21:03,117.136.79.117,佛山市,广东省
2016/10/17 21:03,223.104.1.144,广州市,广东省
2016/10/17 21:04,117.136.40.49,广州市,广东省
2016/10/17 21:04,117.136.40.252,广州市,广东省
2016/10/17 21:04,117.136.41.77,广州市,广东省
2016/10/17 21:05,112.74.190.44,深圳市,广东省
2016/10/17 21:05,223.104.1.199,广州市,广东省
2016/10/17 21:05,120.197.197.10,佛山市,广东省
2016/10/17 21:05,120.197.200.73,佛山市,广东省
2016/10/17 21:05,117.136.31.226,广州市,广东省
2016/10/17 21:05,120.197.197.13,佛山市,广东省
2016/10/17 21:06,117.136.40.151,广州市,广东省
2016/10/17 21:07,117.136.40.63,广州市,广东省
2016/10/17 21:07,117.136.40.37,广州市,广东省
2016/10/17 21:09,117.136.79.71,佛山市,广东省
2016/10/17 21:09,117.136.32.107,广州市,广东省
2016/10/17 21:09,117.136.41.37,广州市,广东省
2016/10/17 22:04,120.197.198.9,佛山市,广东省
2016/10/17 22:05,118.178.89.33,深圳市,广东省
2016/10/17 22:05,117.136.32.29,广州市,广东省
2016/10/17 22:05,120.197.193.55,佛山市,广东省
2016/10/17 22:05,221.179.85.204,深圳市,广东省
2016/10/17 22:05,117.136.79.122,佛山市,广东省
2016/10/17 22:06,120.77.15.85,深圳市,广东省
2016/10/17 22:06,223.104.1.111,广州市,广东省
2016/10/17 22:07,120.197.202.59,佛山市,广东省
2016/10/17 22:07,117.136.40.22,广州市,广东省
2016/10/17 22:07,223.104.1.137,广州市,广东省
2016/10/17 22:07,223.104.1.195,广州市,广东省
2016/10/17 22:08,223.104.1.21,深圳市,广东省
2016/10/17 22:08,117.136.79.221,佛山市,广东省
2016/10/17 22:08,120.197.195.42,佛山市,广东省
2016/10/17 22:08,117.136.39.227,广州市,广东省
2016/10/17 22:08,183.60.162.86,东莞市,广东省
2016/10/17 22:08,120.197.193.66,佛山市,广东省
2016/10/17 0:02,117.136.41.68,广州市,广东省
2016/10/17 0:03,112.74.181.72,深圳市,广东省
2016/10/17 0:03,112.74.183.97,深圳市,广东省
2016/10/17 0:03,112.74.187.189,深圳市,广东省
2016/10/17 0:03,223.104.63.24,北京市,北京市
2016/10/17 0:04,117.136.40.154,广州市,广东省
2016/10/17 0:04,117.136.32.58,广州市,广东省
2016/10/17 0:04,117.136.39.202,广州市,广东省
2016/10/17 0:04,117.136.79.149,佛山市,广东省
2016/10/17 0:05,223.104.63.12,北京市,北京市
2016/10/17 0:05,223.74.229.108,中山市,广东省
2016/10/17 0:06,117.136.40.210,广州市,广东省
2016/10/17 0:06,223.104.1.18,深圳市,广东省
2016/10/17 0:07,117.136.12.121,广州市,广东省
2016/10/17 0:08,117.136.40.135,广州市,广东省
2016/10/17 1:03,120.197.198.69,佛山市,广东省
2016/10/17 1:03,117.136.41.65,广州市,广东省
2016/10/17 1:03,117.136.41.83,广州市,广东省
2016/10/17 1:03,117.136.40.22,广州市,广东省
2016/10/17 1:04,120.77.16.181,深圳市,广东省
2016/10/17 1:04,117.136.79.10,佛山市,广东省
2016/10/17 1:05,117.136.40.193,广州市,广东省
2016/10/17 1:07,120.197.197.62,佛山市,广东省
2016/10/17 1:07,117.136.41.56,广州市,广东省
2016/10/17 1:07,117.136.41.57,广州市,广东省
2016/10/17 1:07,117.136.32.62,广州市,广东省
2016/10/17 1:07,117.136.31.138,广州市,广东省
2016/10/17 1:08,117.136.40.17,广州市,广东省
2016/10/17 1:08,117.136.79.51,佛山市,广东省
2016/10/17 1:08,223.104.1.158,广州市,广东省
2016/10/17 1:09,117.136.40.214,广州市,广东省
2016/10/17 1:09,117.136.31.209,广州市,广东省
2016/10/17 2:02,117.136.40.23,广州市,广东省
2016/10/17 2:02,117.136.79.243,佛山市,广东省
2016/10/17 2:03,120.197.198.37,佛山市,广东省
2016/10/17 2:03,117.136.79.223,佛山市,广东省
2016/10/17 2:04,120.197.202.36,佛山市,广东省
2016/10/17 2:04,120.197.198.10,佛山市,广东省
2016/10/17 2:05,117.136.31.249,广州市,广东省
2016/10/17 2:06,117.136.41.124,广州市,广东省
2016/10/17 2:06,118.178.91.215,深圳市,广东省
2016/10/17 2:06,223.104.1.16,深圳市,广东省
2016/10/17 2:06,120.197.198.82,佛山市,广东省
2016/10/17 2:07,120.197.197.70,佛山市,广东省
2016/10/17 3:03,117.136.79.44,佛山市,广东省
2016/10/17 3:04,117.136.41.53,广州市,广东省
2016/10/17 3:05,117.136.40.228,广州市,广东省
2016/10/17 3:06,120.197.196.1,佛山市,广东省
2016/10/17 3:06,223.104.1.112,广州市,广东省
2016/10/17 3:06,117.136.79.240,佛山市,广东省
2016/10/17 3:09,117.136.40.229,广州市,广东省
2016/10/17 4:03,117.136.40.33,广州市,广东省
2016/10/17 4:04,223.104.1.22,深圳市,广东省
2016/10/17 4:05,112.74.170.175,深圳市,广东省
2016/10/17 4:06,117.136.79.246,佛山市,广东省
2016/10/17 5:04,117.136.40.213,广州市,广东省
